  R      T(K)
128.47	120.38
128.04	119.89
127.61	119.40
127.21	118.88
126.85	118.39
126.43	117.90
126.00	117.39
125.56	116.90
125.17	116.40
124.83	115.88
124.41	115.39
123.96	114.89
123.57	114.39
123.14	113.89
122.82	113.40
122.40	112.90
122.06	112.39
121.65	111.89
121.27	111.38
120.90	110.91
120.48	110.39
120.13	109.89
119.76	109.40
119.33	108.89
118.99	108.40
118.68	107.91
118.26	107.39
117.90	106.90
117.54	106.39
117.16	105.90
116.79	105.40
116.48	104.89
116.00	104.39
115.64	103.89
115.32	103.41
114.96	102.91
114.55	102.40
114.20	101.89
113.92	101.41
113.55	100.90
113.18	100.41
112.80	99.891
112.48	99.396
112.09	98.898
111.76	98.398
111.43	97.894
111.10	97.414
110.73	96.905
110.41	96.391
110.09	95.905
109.70	95.399
109.35	94.890
109.09	94.406
108.74	93.891
108.43	93.400
108.05	92.907
107.73	92.409
107.42	91.909
107.08	91.405
106.72	90.900
106.43	90.390
106.09	89.907
105.74	89.393
105.47	88.905
105.13	88.390
104.81	87.904
104.45	87.413
104.09	86.888
103.81	86.388
103.51	85.888
103.21	85.406
102.88	84.891
102.58	84.399
102.24	83.899
101.96	83.397
101.59	82.892
101.27	82.381
100.93	81.895
100.68	81.403
100.39	80.882
100.06	80.407
99.735	79.895
99.440	79.380
99.106	78.891
98.792	78.395
98.470	77.894
98.277	77.388
97.876	76.874
97.577	76.387
97.332	75.899
97.002	75.399
96.661	74.893
96.403	74.380
96.097	73.892
95.817	73.397
95.507	72.894
95.214	72.385
94.902	71.871
94.623	71.382
94.334	70.892
94.050	70.400
93.812	69.898
93.428	69.389
93.138	68.872
92.863	68.381
92.562	67.880
92.302	67.370
92.038	66.887
91.630	66.354
91.388	65.851
91.146	65.378
90.854	64.878
90.565	64.368
90.258	63.843
90.004	63.351
89.745	62.848
89.435	62.334
89.169	61.851
88.903	61.358
88.641	60.866
88.347	60.340
88.119	59.845
87.805	59.340
87.519	58.823
87.283	58.341
86.997	57.849
86.723	57.347
86.454	56.847
86.197	56.310
85.967	55.811
85.685	55.304
85.426	54.838
85.171	54.316
84.878	53.839
84.607	53.302
84.341	52.864
84.130	52.326
83.836	51.810
83.604	51.338
83.275	50.811
83.015	50.331
82.818	49.841
82.508	49.332
82.221	48.822
81.970	48.309
81.698	47.835
81.453	47.315
81.231	46.843
80.905	46.333
80.705	45.837
80.415	45.338
80.105	44.832
79.892	44.326
79.609	43.832
79.372	43.327
79.128	42.834
78.836	42.347
78.593	41.853
78.320	41.349
78.112	40.851
77.820	40.322
77.551	39.847
77.277	39.323
77.040	38.835
76.807	38.347
76.571	37.861
76.276	37.343
76.111	36.824
75.841	36.343
75.536	35.812
75.237	35.328
75.073	34.854
74.798	34.332
74.606	33.848
74.341	33.312
74.108	32.829
73.878	32.355
73.667	31.828
73.402	31.338
73.144	30.848
72.886	30.326
72.698	29.837
72.556	29.344
72.299	28.845
72.034	28.317
71.840	27.817
71.616	27.312
71.402	26.812
71.222	26.318
70.943	25.813
70.782	25.341
70.540	24.840
70.351	24.329
70.139	23.799
69.969	23.329
69.758	22.810
69.524	22.322
69.357	21.841
69.189	21.315
69.025	20.826
68.797	20.334
68.624	19.798
68.456	19.296
68.238	18.805
68.158	18.310
67.955	17.810
67.788	17.323
67.685	16.821
67.484	16.331
67.371	15.835
67.256	15.298
67.122	14.803
66.972	14.326
66.826	13.798
66.667	13.333
66.594	12.821
66.499	12.338
66.348	11.861
66.279	11.364
66.191	10.858
66.110	10.383
66.023	9.8818
65.896	9.4070
65.861	8.9221
65.811	8.4381
65.735	7.9558
65.631	7.4825
65.610	6.9916
65.565	6.4959
65.551	5.9974
65.503	5.4992
